Duration,Pulse,Maxpulse,Calories,Pulse_Duration,Maxpulse_Duration,Intensity_Ratio,Pulse_Maxpulse,Pulse_Squared,Duration_Squared,Pulse_Reserve,Log_Duration,Heart_Rate_Load
60,110,130,409.1,6600,7800,0.8461538461538461,14300,12100,3600,20,4.110873864173311,66.0
60,117,145,479.0,7020,8700,0.8068965517241379,16965,13689,3600,28,4.110873864173311,70.19999999999999
60,103,135,340.0,6180,8100,0.762962962962963,13905,10609,3600,32,4.110873864173311,61.800000000000004
45,109,175,282.4,4905,7875,0.6228571428571429,19075,11881,2025,66,3.828641396489095,49.050000000000004
45,117,148,406.0,5265,6660,0.7905405405405406,17316,13689,2025,31,3.828641396489095,52.65
60,102,127,300.0,6120,7620,0.8031496062992126,12954,10404,3600,25,4.110873864173311,61.2
60,110,136,374.0,6600,8160,0.8088235294117647,14960,12100,3600,26,4.110873864173311,66.0
45,104,134,253.3,4680,6030,0.7761194029850746,13936,10816,2025,30,3.828641396489095,46.800000000000004
30,109,133,195.1,3270,3990,0.8195488721804511,14497,11881,900,24,3.4339872044851463,32.7
60,98,124,269.0,5880,7440,0.7903225806451613,12152,9604,3600,26,4.110873864173311,58.8
60,103,147,329.3,6180,8820,0.7006802721088435,15141,10609,3600,44,4.110873864173311,61.800000000000004
60,100,120,250.7,6000,7200,0.8333333333333334,12000,10000,3600,20,4.110873864173311,60.0
60,106,128,345.3,6360,7680,0.828125,13568,11236,3600,22,4.110873864173311,63.6
60,104,132,379.3,6240,7920,0.7878787878787878,13728,10816,3600,28,4.110873864173311,62.400000000000006
60,98,123,275.0,5880,7380,0.7967479674796748,12054,9604,3600,25,4.110873864173311,58.8
60,98,120,215.2,5880,7200,0.8166666666666667,11760,9604,3600,22,4.110873864173311,58.8
60,100,120,300.0,6000,7200,0.8333333333333334,12000,10000,3600,20,4.110873864173311,60.0
60,103,123,323.0,6180,7380,0.8373983739837398,12669,10609,3600,20,4.110873864173311,61.800000000000004
45,97,125,243.0,4365,5625,0.776,12125,9409,2025,28,3.828641396489095,43.65
60,108,131,364.2,6480,7860,0.8244274809160306,14148,11664,3600,23,4.110873864173311,64.80000000000001
45,100,119,282.0,4500,5355,0.8403361344537815,11900,10000,2025,19,3.828641396489095,45.0
60,130,101,300.0,7800,6060,1.2871287128712872,13130,16900,3600,-29,4.110873864173311,78.0
45,105,132,246.0,4725,5940,0.7954545454545454,13860,11025,2025,27,3.828641396489095,47.25
60,102,126,334.5,6120,7560,0.8095238095238095,12852,10404,3600,24,4.110873864173311,61.2
60,100,120,250.0,6000,7200,0.8333333333333334,12000,10000,3600,20,4.110873864173311,60.0
60,92,118,241.0,5520,7080,0.7796610169491526,10856,8464,3600,26,4.110873864173311,55.2
60,100,132,280.0,6000,7920,0.7575757575757576,13200,10000,3600,32,4.110873864173311,60.0
60,102,129,380.3,6120,7740,0.7906976744186046,13158,10404,3600,27,4.110873864173311,61.2
60,92,115,243.0,5520,6900,0.8,10580,8464,3600,23,4.110873864173311,55.2
45,90,112,180.1,4050,5040,0.8035714285714286,10080,8100,2025,22,3.828641396489095,40.5
60,101,124,299.0,6060,7440,0.8145161290322581,12524,10201,3600,23,4.110873864173311,60.6
60,93,113,223.0,5580,6780,0.8230088495575221,10509,8649,3600,20,4.110873864173311,55.800000000000004
60,107,136,361.0,6420,8160,0.7867647058823529,14552,11449,3600,29,4.110873864173311,64.2
60,114,140,415.0,6840,8400,0.8142857142857143,15960,12996,3600,26,4.110873864173311,68.39999999999999
60,102,127,300.0,6120,7620,0.8031496062992126,12954,10404,3600,25,4.110873864173311,61.2
60,100,120,300.0,6000,7200,0.8333333333333334,12000,10000,3600,20,4.110873864173311,60.0
60,100,120,300.0,6000,7200,0.8333333333333334,12000,10000,3600,20,4.110873864173311,60.0
